id,summary,start,end,location,description,attendees
5hunq26h9ptctkhl0epke8rfim_20240103T173000Z,Muay Thai,2024-01-03T18:30:00+01:00,2024-01-03T20:00:00+01:00,No location provided,No description provided,[]
21qc6r7n3e3ati225gbngftb1f_20240104T170000Z,Kickboxen,2024-01-04T18:00:00+01:00,2024-01-04T19:30:00+01:00,No location provided,No description provided,[]
0qtd8brbt0jkigebvligsuoh7i_20240107T170000Z,Kickboxen,2024-01-07T18:00:00+01:00,2024-01-07T19:30:00+01:00,No location provided,No description provided,[]
4mfl2dpkq913679b59rou6u0ij_20240109T173000Z,Muay Thai,2024-01-09T18:30:00+01:00,2024-01-09T20:00:00+01:00,No location provided,No description provided,[]
5hunq26h9ptctkhl0epke8rfim_20240110T173000Z,Muay Thai,2024-01-10T18:30:00+01:00,2024-01-10T20:00:00+01:00,No location provided,No description provided,[]
21qc6r7n3e3ati225gbngftb1f_20240111T170000Z,Kickboxen,2024-01-11T18:00:00+01:00,2024-01-11T19:30:00+01:00,No location provided,No description provided,[]
0qtd8brbt0jkigebvligsuoh7i_20240114T170000Z,Kickboxen,2024-01-14T18:00:00+01:00,2024-01-14T19:30:00+01:00,No location provided,No description provided,[]
4mfl2dpkq913679b59rou6u0ij_20240116T173000Z,Muay Thai,2024-01-16T18:30:00+01:00,2024-01-16T20:00:00+01:00,No location provided,No description provided,[]
5hunq26h9ptctkhl0epke8rfim_20240117T173000Z,Muay Thai,2024-01-17T18:30:00+01:00,2024-01-17T20:00:00+01:00,No location provided,No description provided,[]
21qc6r7n3e3ati225gbngftb1f_20240118T170000Z,Kickboxen,2024-01-18T18:00:00+01:00,2024-01-18T19:30:00+01:00,No location provided,No description provided,[]
0qtd8brbt0jkigebvligsuoh7i_20240121T170000Z,Kickboxen,2024-01-21T18:00:00+01:00,2024-01-21T19:30:00+01:00,No location provided,No description provided,[]
4mfl2dpkq913679b59rou6u0ij_20240123T173000Z,Muay Thai,2024-01-23T18:30:00+01:00,2024-01-23T20:00:00+01:00,No location provided,No description provided,[]
5hunq26h9ptctkhl0epke8rfim_20240124T173000Z,Muay Thai,2024-01-24T18:30:00+01:00,2024-01-24T20:00:00+01:00,No location provided,No description provided,[]
21qc6r7n3e3ati225gbngftb1f_20240125T170000Z,Kickboxen,2024-01-25T18:00:00+01:00,2024-01-25T19:30:00+01:00,No location provided,No description provided,[]
0qtd8brbt0jkigebvligsuoh7i_20240128T170000Z,Kickboxen,2024-01-28T18:00:00+01:00,2024-01-28T19:30:00+01:00,No location provided,No description provided,[]
4mfl2dpkq913679b59rou6u0ij_20240130T173000Z,Muay Thai,2024-01-30T18:30:00+01:00,2024-01-30T20:00:00+01:00,No location provided,No description provided,[]
2e08i8tsqm5mu106h84jeer7ig_20231103T070000Z,KI,2023-11-03T08:00:00+01:00,2023-11-03T15:15:00+01:00,No location provided,No description provided,[]
4bhq4s3ohhjcmg3igm18aaiet5_20231106T143000Z,Investition und Finanzierung,2023-11-06T15:30:00+01:00,2023-11-06T18:15:00+01:00,TA 029,No description provided,[]
52ra2n14r2e0rhauqo334d5iv0_20231107T110000Z,Investition und Finanzierung Übung,2023-11-07T12:00:00+01:00,2023-11-07T15:15:00+01:00,TA 236,No description provided,[]
15o52cmirm9d7g81ba2ln8qlkp_20231108T070000Z,Präsentation und Moderation,2023-11-08T15:15:00+01:00,2023-11-08T15:45:00+01:00,No location provided,No description provided,[]
1aejfgiqfg25pn9gcbeg42fa38_20231109T084500Z,Software Ergonomie,2023-11-09T09:45:00+01:00,2023-11-09T15:15:00+01:00,No location provided,No description provided,[]
2e08i8tsqm5mu106h84jeer7ig_20231110T070000Z,KI,2023-11-10T08:00:00+01:00,2023-11-10T15:15:00+01:00,No location provided,No description provided,[]
4bhq4s3ohhjcmg3igm18aaiet5_20231113T143000Z,Investition und Finanzierung,2023-11-13T15:30:00+01:00,2023-11-13T18:15:00+01:00,TA 029,No description provided,[]
52ra2n14r2e0rhauqo334d5iv0_20231114T110000Z,Investition und Finanzierung Übung,2023-11-14T12:00:00+01:00,2023-11-14T15:15:00+01:00,TA 236,No description provided,[]
1aejfgiqfg25pn9gcbeg42fa38_20231116T084500Z,Software Ergonomie,2023-11-16T09:45:00+01:00,2023-11-16T15:15:00+01:00,No location provided,No description provided,[]
2e08i8tsqm5mu106h84jeer7ig_20231117T070000Z,KI,2023-11-17T08:00:00+01:00,2023-11-17T15:15:00+01:00,No location provided,No description provided,[]
4bhq4s3ohhjcmg3igm18aaiet5_20231120T143000Z,Investition und Finanzierung,2023-11-20T15:30:00+01:00,2023-11-20T18:15:00+01:00,TA 029,No description provided,[]
52ra2n14r2e0rhauqo334d5iv0_20231121T110000Z,Investition und Finanzierung Übung,2023-11-21T12:00:00+01:00,2023-11-21T15:15:00+01:00,TA 236,No description provided,[]
1aejfgiqfg25pn9gcbeg42fa38_20231123T084500Z,Software Ergonomie,2023-11-23T09:45:00+01:00,2023-11-23T15:15:00+01:00,No location provided,No description provided,[]
2e08i8tsqm5mu106h84jeer7ig_20231124T070000Z,KI,2023-11-24T08:00:00+01:00,2023-11-24T15:15:00+01:00,No location provided,No description provided,[]
4bhq4s3ohhjcmg3igm18aaiet5_20231127T143000Z,Investition und Finanzierung,2023-11-27T15:30:00+01:00,2023-11-27T18:15:00+01:00,TA 029,No description provided,[]
52ra2n14r2e0rhauqo334d5iv0_20231128T110000Z,Investition und Finanzierung Übung,2023-11-28T12:00:00+01:00,2023-11-28T15:15:00+01:00,TA 236,No description provided,[]
1aejfgiqfg25pn9gcbeg42fa38_20231130T084500Z,Software Ergonomie,2023-11-30T09:45:00+01:00,2023-11-30T15:15:00+01:00,No location provided,No description provided,[]
2e08i8tsqm5mu106h84jeer7ig_20231201T070000Z,KI,2023-12-01T08:00:00+01:00,2023-12-01T15:15:00+01:00,No location provided,No description provided,[]
